"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b8c0eb07,index,64,56.033
391737eb,query,379,437.153
388c7412,explore,22,81.918
3955382a,index,7,31.546
b91010b2,query,72,325.931
3955382a,index,35,54.815
b960d877,explore,113,146.008
b8db6ad4,explore,35,141.776
380e8fb2,query,161,422.742
b79fe3f1,explore,48,156.552
b797388a,index,51,58.034
b796189b,explore,22,167.581
b89ffd94,query,333,468.874
380e8fb2,query,17,417.017
38c05df1,explore,60,34.190
b4d74da5,,76,
37d9eb2e,query,17,353.962
391aecc4,explore,206,135.504
b87cc9aa,welcome,7,22.542
38948dcb,query,87,405.646
b7834a5d,query,17,344.458
358265cf,welcome,9,40.285
b8ea553c,index,32,52.825
b8926399,query,54,340.703
b811303c,welcome,126,25.179
b6ce6d39,query,55,297.460
b969c7f7,explore,35,134.642
38dced53,query,88,359.592
394f292b,query,160,428.314
388449c1,query,17,550.591
38a1b139,explore,22,136.482
353aeda8,query,125,442.282
b896479d,query,87,237.067
38795e28,,152,
38ac841c,query,65,395.218
b8b48b40,welcome,7,22.616
3791b663,query,160,317.165
36f1b74f,index,4,40.308
b88014ad,query,18,358.103
3891891e,query,53,387.041
b7d755ca,query,108,364.649
b881b07e,explore,22,157.096
38319688,explore,67,91.481
37d9eb2e,welcome,33,27.451
38afbd2d,query,103,455.215
b8cc7cde,query,100,390.344
38d0d5a4,query,17,345.101
b6e48e00,query,72,521.422
3903fcc4,query,107,340.997
38a1b139,explore,30,111.042
b9154411,query,28,266.562
370938a4,query,50,404.101
393e838a,explore,168,167.655
38319688,explore,123,90.480
b8926399,explore,139,140.069
b6f30691,explore,111,94.934
38e96c40,explore,114,198.868
b90f0126,explore,22,106.688
b75842ba,explore,103,114.382
b8926399,index,10,29.509
3876a942,explore,37,119.523
b8f929a3,query,42,407.295
b7fe9ea9,query,66,519.914
b911f253,explore,22,174.084
b89e08e4,query,74,488.626
3806b8eb,explore,104,106.565
b9328395,welcome,12,32.891
394f292b,query,155,483.539
3782ff8a,,10,
b68470fd,explore,265,33.478
38ca2b03,explore,67,92.923
392ec35a,query,17,452.966
b583ab9d,explore,182,88.857
b969c7f7,query,17,366.946
b8cbb004,welcome,7,44.523
b7d755ca,explore,282,197.462
b86e3afe,query,103,308.200
39365ef3,welcome,12,27.764
38d104cc,query,110,308.452
b7fea314,query,458,338.010
b92f93fa,query,32,447.709
38a06817,explore,22,72.213
b8be7350,,10,
37da7b6b,query,61,401.015
b6f30691,index,14,48.499
387dc1a3,welcome,116,31.076
389ad92c,explore,22,127.099
b8958686,explore,45,65.306
3859f72e,welcome,7,26.048
385fdcf4,query,17,257.074
b9197303,query,34,365.017
b92f93fa,explore,83,46.312
38d81da8,query,29,449.577
390bd0eb,welcome,7,48.384
b8b58a4e,,17,
382e53fc,explore,88,142.009
38bb8f0c,query,56,357.665
b8c9701d,explore,22,111.447
38c57fb4,query,17,361.074
394f292b,welcome,13,26.985
b88ea5a2,explore,22,114.968
38bb8f0c,welcome,50,25.543
38cf25b8,query,49,317.457
b7a05342,welcome,7,27.796
b45f02f6,query,55,381.499
38d0d5a4,index,26,15.751
b8b48b40,explore,189,127.580
37ee8546,query,17,338.748
3891891e,explore,43,98.461
389e4217,index,9,45.406
38cd2874,explore,265,131.505
38e9d8b4,explore,22,92.384
3903fcc4,query,44,372.448
3941f9d6,,176,
b8ce3ab7,explore,67,108.927
39318dff,explore,163,90.459
b89e08e4,query,33,389.073
3925b2bb,explore,22,95.648
b8f7d9c4,query,41,325.883
381d9f04,query,56,407.327
388c7e66,query,145,393.463
38dced53,query,44,257.867
b8eb5b30,,16,
b7fe9ea9,query,17,342.009
b8b4d295,welcome,7,32.611
389d2e50,explore,144,88.255
b8697044,index,12,24.533
38948dcb,query,22,327.625
b8381d45,explore,22,67.064
b8b82e96,explore,142,116.191
39318dff,explore,45,50.232
b8b769cc,query,87,432.648
38aa310d,query,178,439.365
381d9f04,query,46,358.053
3891339d,query,82,505.607
b921f986,explore,45,197.676
3804d542,query,72,370.115
b8f0341a,explore,133,75.102
b9585f6b,explore,60,51.392
39670a85,welcome,10,35.568
b8958686,query,42,423.136
388a0367,query,84,350.023
b758b953,explore,85,109.211
38441e03,,10,
3815e560,query,45,410.645
39318dff,query,17,310.428
b909de80,,108,
390a478f,query,357,403.061
b9041305,query,96,440.414
38fc6708,explore,35,178.662
b887de25,,10,
37640a19,explore,78,132.663
b90f4044,query,17,392.547
397342ca,explore,268,101.637
b7298469,query,145,510.542
b8f0b6a6,explore,125,141.488
3900861a,query,17,387.585
36ed5060,query,64,411.785
3799ec7b,query,20,354.757
b8471dcd,explore,227,76.350
3849538f,query,74,437.091
37003e98,explore,249,67.296
b8eda722,index,4,38.468
39478a8a,explore,106,92.876
3922b349,query,52,332.842
38a633a1,explore,52,118.267
39212245,welcome,50,30.104
38b7f354,query,87,433.228
b85e8e45,query,53,303.375
36e4410c,welcome,12,24.037
39365ef3,explore,47,145.610
3834006a,query,85,452.492
b887de25,welcome,29,32.902
3900e81c,welcome,7,43.670
b902c6e5,explore,22,56.898
b9041305,query,32,337.484
39758bae,explore,173,111.504
38a06817,welcome,7,32.458
3900861a,query,17,329.920
38b76bbb,query,53,337.939
b89c3425,query,184,337.870
b8eda722,index,4,70.671
b896479d,explore,70,113.157
38f3ac65,query,41,419.746
b7d0c077,query,42,348.275
380b42ff,query,59,435.600
b949e2f1,explore,141,47.026
38e355b2,,16,
391737eb,query,79,429.373
38795e28,query,17,293.942
b73ac872,welcome,16,28.345
b71aa54e,query,17,387.301
394a07e6,welcome,66,21.671
38458817,explore,60,102.434
b8f4dad5,explore,105,161.164
b6a11108,welcome,20,41.091
3815e560,,10,
38745e14,query,130,322.374
389d2e50,welcome,19,32.178
38fb0691,explore,62,70.262
b86509eb,explore,47,116.569
b6c07f2e,explore,126,70.084
b9736e44,query,66,448.779
b8f0341a,query,17,414.537
b7834a5d,query,53,390.562
393e838a,welcome,36,32.101
38ba1d6e,explore,22,131.423
38e96c40,index,8,65.057
38c96af9,welcome,14,25.000
b93c6e64,welcome,145,36.050
38d81da8,explore,311,165.539
b8b82e96,welcome,147,26.099
38a5444d,welcome,70,37.708
388449c1,query,89,365.430
397342ca,query,539,385.095
b894b74d,welcome,188,28.218
38e14edf,,26,
b8a167a7,query,35,336.987
38b7f354,explore,138,98.791
b966279c,explore,31,126.363
b9197303,welcome,9,34.262
b969c7f7,index,23,39.217
b91efdd3,explore,57,171.643
b87b7619,explore,61,130.440
3848ed02,query,138,360.652
36e4410c,query,34,394.013
38afbd2d,query,17,399.005
38ff1e6e,query,133,479.118
3896df90,welcome,65,39.470
390bcd76,query,173,392.956
37ee8546,explore,114,126.877
b86509eb,query,142,426.449
b8b4d295,query,107,322.836
3952231e,query,142,434.807
b8ebaf19,explore,85,109.609
b887de25,query,67,428.286
b8a3c2c9,index,64,46.387
b85cc5e8,welcome,9,22.200
3900861a,query,354,390.009
38583d2d,query,200,383.970
36f1b74f,welcome,7,35.417
3891339d,query,17,330.453
b8edd98e,explore,68,22.249
b791d445,welcome,7,39.550
38a5e45f,welcome,10,40.692
39095559,query,174,361.649
35dca24f,index,4,40.059
b8d4de44,explore,89,107.259
b8000ee8,query,108,330.622
b87286ca,query,94,320.719
b8ad4598,welcome,46,24.601
385430ef,explore,22,114.738
b9154411,query,35,446.383
b80afde3,welcome,7,43.625
370371dd,welcome,20,44.892
b85e8e45,query,39,306.370
b70816c9,welcome,10,18.868
358265cf,query,35,401.466
b946cbe5,explore,44,70.846
b75ec1ca,query,81,392.042
3882bbe1,explore,231,81.396
38e14edf,welcome,7,24.895
b8dd4a49,welcome,32,37.302
385a9e7b,index,28,41.931
b8000ee8,,10,
b791d445,explore,85,80.711
b9271e47,explore,42,88.920
b7964b04,query,132,424.458
382553e8,explore,247,45.637
b909de80,welcome,109,42.009
b90aa3ca,query,64,391.581
b811303c,welcome,43,28.264
39373acc,welcome,7,33.361
38e3d49a,index,40,33.675
b90ff30a,query,111,466.435
b85b4afd,query,36,412.127
3834006a,query,102,401.170
3955382a,welcome,33,29.546
38b456cc,welcome,95,31.890
38fc6708,query,17,313.134
39228db2,index,12,32.132
b8ed44cb,query,123,362.317
379e4902,welcome,7,38.360
37f758c1,query,32,362.301
38cf25b8,index,11,58.961
b7fea314,welcome,46,36.306
38dced53,query,92,376.161
b85b4afd,query,134,317.023
b70816c9,query,760,465.914
3834006a,welcome,37,37.953
39670a85,index,4,59.990
b5824c0d,welcome,7,22.445
39320db5,welcome,107,28.269
b886e855,query,25,407.787
b93c6e64,query,36,253.959
b8a3c2c9,explore,22,116.564
b88014ad,explore,61,135.358
38af566d,,73,
3891891e,,103,
b45f02f6,index,26,27.420
384a7e56,query,183,387.599
b9471910,query,162,381.615
38c96af9,welcome,9,26.831
b791d445,explore,89,115.659
b9468a14,query,155,405.252
38d81da8,query,17,356.128
b9585f6b,explore,22,105.572
b797388a,query,39,352.500
380b42ff,explore,175,161.725
b811303c,welcome,10,24.741
b90814a9,,124,
b65e3350,,39,
358265cf,query,40,329.171
3891339d,query,17,383.625
38a06817,query,17,312.372
b8901986,welcome,55,20.419
37f758c1,query,348,453.052
397342ca,explore,96,123.948
37640a19,,51,
b8b82e96,query,49,431.740
b8912956,query,40,319.090
b8697044,welcome,111,44.405
3859f72e,query,67,394.436
3943525e,query,99,324.462
b88599a2,,28,
397342ca,explore,81,46.195
b6c2d57d,,11,
378f7382,query,26,410.773
b8b48b40,,72,
38583d2d,explore,157,118.619
38ba534a,welcome,72,18.035
390eb20a,query,176,311.170
37b54085,explore,76,38.027
394f292b,explore,44,106.059
b89c719c,query,45,349.978
b85e8e45,query,353,252.361
3881e95c,query,17,406.266
b8327b45,query,66,454.677
b8819115,explore,220,98.303
388a0367,explore,116,119.660
b8db6ad4,explore,189,139.398
b856fd59,welcome,22,20.381
b8f7d9c4,index,4,46.250
b9046492,query,48,323.693
b8b7c738,explore,80,92.420
387dc1a3,explore,77,130.625
b8b769cc,index,9,71.492
38afb6b5,query,18,321.034
3787d977,query,17,348.783
b831e5fd,query,92,429.746
38d3e59b,welcome,10,24.265
3661582f,query,306,296.852
36a064d0,explore,132,118.965
b9585f6b,explore,206,123.423
b91010b2,welcome,33,18.765
39365ef3,explore,52,79.764
38f3ac65,explore,22,19.297
385a9e7b,explore,242,228.864
b887de25,explore,99,89.273
b914002e,welcome,7,27.013
38a1b139,query,125,403.974
388e7d76,explore,22,125.304
b75842ba,query,17,386.763
b87cc9aa,index,16,79.573
b887de25,query,123,482.971
38ac841c,welcome,30,20.390
